# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
ahdW	middle	33.01	33.98	34.97	27.97	21.95	11.99	14.97	10.98	8.00	7.99	2.00
avrB	early	465.08	286.86	166.88	93.89	54.88	32.97	15.96	11.98	5.00	2.00	0.00
oysO	middle	1153.21	1197.43	1133.17	1120.71	1065.62	888.09	751.31	674.92	596.64	519.62	414.23
mbeO	early	115.02	92.96	37.97	36.96	22.95	20.98	9.98	4.99	3.00	1.00	1.00
zplJ	middle	26.00	30.99	39.97	39.95	50.89	41.96	46.89	53.91	44.97	55.96	50.03
abhA	early	22.00	8.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ufeU	early	17.00	12.99	6.00	4.99	10.98	6.99	2.00	1.00	1.00	4.00	2.00
rndZ	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
iivH	early	23.00	20.99	21.98	18.98	20.95	7.99	5.99	5.99	5.00	2.00	2.00
mbzO	early	72.01	46.98	23.98	14.98	3.99	5.99	1.00	0.00	0.00	0.00	0.00
igrX	early	84.02	35.98	8.99	5.99	2.99	1.00	0.00	0.00	0.00	0.00	0.00
qiyH	early	7.00	4.00	4.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
xvjP	early	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dhlA	middle	94.02	96.95	116.91	106.88	96.78	108.89	95.78	85.86	89.95	71.95	73.04
ardQ	middle	75.01	52.97	76.94	51.94	52.88	52.95	31.93	36.94	21.99	15.99	19.01
xzkF	middle	12.00	13.99	14.99	12.99	14.97	18.98	10.98	12.98	8.00	8.99	5.00
jnrY	early	74.01	51.98	37.97	21.97	15.96	12.99	2.00	3.00	3.00	0.00	0.00
fciU	middle	9.00	4.00	12.99	15.98	10.98	8.99	7.98	4.99	9.99	5.00	4.00
wpmI	early	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xzcJ	middle	35.01	38.98	42.97	26.97	35.92	26.97	30.93	22.96	19.99	18.99	13.01
yjvQ	early	32.01	18.99	12.99	8.99	4.99	5.99	0.00	2.00	1.00	2.00	0.00
bsyH	early	28.01	19.99	13.99	6.99	2.99	1.00	1.00	1.00	0.00	0.00	0.00
xdjG	early	71.01	70.97	30.98	25.97	14.97	4.00	9.98	3.99	6.00	2.00	2.00
jpbT	early	8.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gciW	early	9.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bbmP	early	24.00	17.99	11.99	5.99	3.99	4.00	1.00	0.00	0.00	0.00	0.00
nfdT	middle	134.02	135.93	135.90	134.84	138.69	113.88	89.80	68.89	70.96	60.96	55.03
ankO	middle	399.07	389.81	421.69	444.49	385.14	353.64	338.24	313.50	243.85	233.83	176.10
lecW	early	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ieyD	middle	619.11	724.65	747.45	750.14	699.44	732.25	655.52	574.08	526.69	473.65	469.26
hmcX	middle	22.00	25.99	16.99	22.97	17.96	13.99	13.97	6.99	6.00	5.00	4.00
izgK	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
defC	middle	23.00	20.99	15.99	30.96	21.95	26.97	23.95	15.97	19.99	12.99	13.01
oifE	middle	199.04	236.89	247.82	275.68	255.43	239.75	287.35	273.56	244.85	241.82	221.12
aoeT	early	453.08	385.81	306.77	177.80	118.73	65.93	35.92	27.96	10.99	12.99	9.01
sccZ	middle	646.12	821.61	858.37	978.87	988.79	1011.97	1031.67	1078.27	1086.35	1017.25	963.54
irhD	early	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ezvF	early	0.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
tccU	early	23.00	20.99	6.99	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
phtD	middle	89.02	87.96	129.90	135.84	139.69	152.84	156.65	152.76	180.89	170.87	153.09
ijgB	middle	411.07	515.75	473.65	493.43	435.03	411.58	404.09	367.41	331.80	305.78	264.15
grnA	middle	166.03	168.92	169.88	148.83	126.72	121.88	114.74	100.84	102.94	80.94	69.04
treH	early	107.02	8.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yphI	late	715.13	963.54	1302.04	1507.27	1718.16	1919.04	2249.93	2497.00	2636.42	2957.83	3049.71
rzmX	middle	47.01	56.97	53.96	55.94	39.91	39.96	37.91	19.97	43.97	24.98	18.01
ljeR	middle	210.04	217.90	222.84	204.76	177.60	180.82	167.62	133.79	117.93	91.93	75.04
aqbU	early	32.01	14.99	11.99	4.00	2.00	1.00	2.00	0.00	0.00	0.00	0.00
uvjG	early	8.00	5.00	5.00	1.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00
dxxU	early	42.01	11.99	8.99	2.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00
egwA	early	39.01	22.99	11.99	11.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00
uqzI	middle	62.01	59.97	58.96	87.90	95.79	79.92	80.82	75.88	77.95	69.95	59.03
nkyF	middle	106.02	137.93	135.90	127.85	132.70	96.90	82.81	68.89	60.96	62.95	44.02
qkgA	early	11.00	3.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
awlL	early	93.02	51.98	46.97	24.97	15.96	15.98	6.98	5.99	3.00	2.00	1.00
hrxS	early	89.02	36.98	19.99	8.99	3.99	0.00	0.00	0.00	0.00	0.00	1.00
emdW	middle	591.11	722.65	745.45	852.02	887.02	860.12	863.05	896.57	852.49	799.41	762.43
fkfV	middle	43.01	33.98	53.96	48.94	48.89	45.95	41.91	33.95	34.98	29.98	31.02
cfzS	early	21.00	4.00	7.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hfrV	middle	305.05	424.80	481.65	424.51	389.13	403.59	377.15	343.45	287.83	250.82	255.14
paoH	middle	21.00	19.99	23.98	11.99	17.96	17.98	13.97	7.99	9.99	7.99	8.00
cdcX	early	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qytS	early	199.04	131.94	53.96	29.97	20.95	11.99	3.99	0.00	0.00	0.00	0.00
cmnM	middle	109.02	114.94	97.93	93.89	81.82	69.93	55.87	39.94	28.98	15.99	20.01
pcmQ	early	24.00	17.99	21.98	18.98	8.98	11.99	2.99	2.00	3.00	2.00	2.00
fhyL	middle	357.06	384.82	392.71	394.55	432.04	437.55	424.04	397.36	397.76	397.71	363.20
xgcU	middle	3.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hndD	late	19.00	14.99	16.99	19.98	13.97	24.97	26.94	29.95	27.98	27.98	30.02
njzL	early	35.01	18.99	9.99	10.99	10.98	3.00	1.00	1.00	0.00	0.00	0.00
eilO	early	69.01	47.98	41.97	39.95	23.95	23.98	13.97	11.98	7.00	6.99	4.00
kjbL	early	309.06	234.89	174.87	134.84	87.80	40.96	35.92	19.97	12.99	7.99	10.01
glkU	early	134.02	62.97	33.98	11.99	5.99	2.00	1.00	0.00	0.00	0.00	0.00
tdeR	early	127.02	98.95	69.95	47.94	35.92	18.98	10.98	4.99	5.00	0.00	1.00
pyuF	early	11.00	6.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hvgH	early	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fooU	late	8.00	13.99	20.98	16.98	20.95	21.98	24.94	31.95	34.98	31.98	35.02
emfX	early	70.01	51.98	32.98	17.98	15.96	9.99	8.98	2.00	0.00	1.00	0.00
nfpT	early	115.02	103.95	95.93	77.91	67.85	73.92	58.87	36.94	29.98	13.99	26.01
vmjW	early	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kxxU	early	15.00	8.00	2.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
abnM	middle	189.03	198.90	224.83	188.78	217.51	159.84	159.64	168.73	109.93	106.92	97.05
vjgB	middle	11.00	14.99	4.00	3.00	1.00	3.00	1.00	0.00	0.00	0.00	0.00
oleF	middle	257.05	280.87	331.76	273.68	275.39	229.77	220.50	213.66	199.88	159.88	165.09
bqrB	middle	26.00	48.98	39.97	39.95	42.90	41.96	33.92	40.93	20.99	24.98	16.01
lfpY	middle	543.10	590.72	580.57	557.36	488.91	435.55	369.17	304.51	266.84	209.85	216.12
oaaZ	early	17.00	15.99	16.99	13.98	12.97	13.99	13.97	13.98	13.99	10.99	5.00
pqiT	early	21.00	13.99	5.00	5.99	1.00	0.00	0.00	0.00	0.00	0.00	1.00
rwpB	middle	21.00	32.98	33.98	29.97	30.93	35.96	38.91	28.95	32.98	30.98	29.02
zkwB	middle	230.04	237.89	198.85	189.78	190.57	168.83	148.66	141.77	119.93	86.94	70.04
nlvB	late	81.01	108.95	118.91	149.83	221.51	211.78	236.47	280.55	290.83	333.75	349.20
jnxG	early	46.01	41.98	26.98	26.97	14.97	8.99	8.98	2.00	1.00	7.99	3.00
bvaR	early	11.00	2.00	2.00	4.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
opfW	early	5.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rvvF	early	12.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
agoK	middle	4.00	5.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
hfnK	early	153.03	61.97	16.99	4.00	5.99	1.00	2.00	1.00	0.00	0.00	0.00
ildJ	middle	505.09	570.73	555.59	596.31	559.75	533.45	476.93	445.29	450.73	352.74	307.17
rewD	early	278.05	135.93	66.95	21.97	15.96	5.99	2.00	1.00	0.00	1.00	0.00
elvF	early	49.01	17.99	19.99	11.99	8.98	3.00	0.00	0.00	0.00	0.00	1.00
craF	middle	6.00	9.00	7.99	3.00	3.99	6.99	0.00	0.00	1.00	0.00	2.00
kmdF	early	266.05	195.91	107.92	75.91	40.91	27.97	12.97	9.98	4.00	3.00	2.00
adgC	early	10.00	7.00	4.00	7.99	2.00	1.00	2.00	0.00	0.00	0.00	0.00
qqtX	early	6.00	1.00	3.00	4.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
hudS	middle	681.12	721.65	737.46	747.14	712.41	602.38	611.62	565.10	482.71	419.69	347.19
lneC	middle	2.00	1.00	3.00	4.99	6.98	2.00	0.00	1.00	1.00	0.00	2.00
rjkJ	early	65.01	61.97	44.97	32.96	31.93	22.98	12.97	14.98	8.00	9.99	8.00
unyL	early	67.01	22.99	4.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tacA	early	73.01	45.98	45.97	26.97	9.98	9.99	2.00	2.00	1.00	2.00	0.00
rxwM	late	80.01	102.95	115.91	148.83	144.68	179.82	201.55	247.60	260.84	256.81	280.16
xhlD	middle	155.03	172.92	202.85	257.70	275.39	288.70	310.30	291.53	293.82	290.79	276.15
oiyZ	middle	43.01	53.97	43.97	56.93	38.91	32.97	30.93	21.96	16.99	15.99	25.01
ivaL	middle	141.03	148.93	153.89	135.84	145.67	97.90	101.77	74.88	61.96	57.96	46.03
uuyM	late	2028.36	2593.75	3285.59	3960.44	4540.86	5124.76	5532.53	6099.24	6520.10	6850.96	7382.14
vkbO	early	4.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
njpB	early	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ewtQ	early	66.01	48.98	30.98	17.98	11.97	6.99	2.00	3.99	5.00	2.00	1.00
mkfN	early	9.00	4.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
orxZ	early	54.01	32.98	42.97	34.96	18.96	12.99	15.96	13.98	5.00	7.99	2.00
dnmI	middle	27.00	51.98	64.95	53.94	73.84	68.93	80.82	77.88	87.95	91.93	87.05
grlF	early	45.01	20.99	11.99	3.00	3.99	1.00	1.00	0.00	0.00	0.00	0.00
zsvX	middle	25.00	27.99	19.99	32.96	15.96	19.98	11.97	7.99	8.00	6.00	5.00
njkJ	middle	645.12	797.62	834.39	915.95	820.17	831.15	849.09	763.78	744.55	639.53	616.35
mkmQ	early	456.08	222.89	139.90	62.93	37.92	15.98	14.97	3.00	3.00	0.00	0.00
dayY	early	3.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vktK	early	28.01	21.99	9.99	4.99	2.00	1.00	1.00	0.00	0.00	0.00	0.00
zelM	early	20.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qdxU	early	42.01	32.98	31.98	16.98	22.95	11.99	10.98	15.97	10.99	3.00	5.00
ihnR	middle	36.01	40.98	25.98	16.98	16.96	9.99	5.99	7.99	1.00	3.00	0.00
cupM	early	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
iwgM	middle	14.00	15.99	6.99	11.99	4.99	4.99	2.99	1.00	2.00	0.00	1.00
xasH	early	9.00	8.00	7.99	2.00	3.99	1.00	1.00	0.00	0.00	0.00	0.00
wedR	early	17.00	10.00	8.99	8.99	5.99	6.99	3.99	5.99	0.00	0.00	1.00
joyF	middle	442.08	534.74	581.57	564.35	602.65	709.28	664.50	692.89	621.63	641.53	615.35
ehvT	early	226.04	178.91	124.91	88.90	62.86	26.97	21.95	17.97	10.99	8.99	2.00
gkoH	early	39.01	32.98	27.98	14.98	16.96	15.98	2.99	2.00	0.00	0.00	1.00
xxzF	early	35.01	10.00	4.00	2.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00
tgvZ	middle	6.00	5.00	7.99	8.99	7.98	14.98	14.97	10.98	16.99	9.99	8.00
ezsJ	early	50.01	42.98	33.98	26.97	20.95	16.98	14.97	12.98	8.00	3.00	4.00
tpgF	middle	27.00	46.98	55.96	70.92	77.83	72.93	77.82	78.87	80.95	81.94	69.04
qgwE	early	57.01	29.99	20.98	6.99	5.99	2.00	2.00	0.00	2.00	0.00	0.00
wlhA	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tnmE	early	36.01	34.98	20.98	17.98	7.98	4.99	3.99	0.00	1.00	1.00	1.00
jpsW	middle	594.11	585.72	568.58	614.29	551.77	499.49	460.96	443.29	314.81	317.77	238.13
bpmU	middle	5.00	8.00	9.99	5.99	6.98	4.99	2.99	3.00	2.00	2.00	5.00
phkG	late	23.00	42.98	28.98	33.96	40.91	49.95	36.92	47.92	61.96	60.96	65.04
snlV	early	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rviW	early	23.00	13.99	6.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
dlcV	early	10.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yweG	middle	977.17	989.53	1055.23	912.95	861.08	717.27	665.50	589.06	513.69	436.68	363.20
fynD	middle	119.02	141.93	142.90	153.82	153.66	158.84	149.66	139.78	140.92	120.91	91.05
nbdI	middle	279.05	319.85	283.79	280.68	246.45	246.75	187.58	155.75	130.92	138.90	102.06
orsO	middle	478.09	527.75	510.63	477.45	490.90	375.62	326.26	276.56	240.86	198.85	153.09
vuiD	early	5441.97	4679.75	4042.03	3330.17	2636.11	1943.01	1481.66	1048.32	788.53	548.60	384.22
rliQ	middle	203.04	214.90	170.87	186.79	146.67	136.86	107.76	100.84	90.95	77.94	49.03
mfwW	early	29.01	17.99	7.99	7.99	7.98	0.00	0.00	0.00	0.00	0.00	0.00
xllQ	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wiuL	early	207.04	83.96	43.97	21.97	5.99	4.00	0.00	1.00	0.00	0.00	0.00
ztpD	early	144.03	108.95	106.92	75.91	64.86	51.95	31.93	26.96	20.99	11.99	11.01
qjtD	early	6.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kxkO	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ystP	early	1249.22	976.53	710.48	469.46	320.28	217.78	123.72	82.87	63.96	31.98	15.01
1-Sep	early	429.08	244.88	126.91	67.92	34.92	17.98	6.98	1.00	2.00	1.00	1.00
blgC	early	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fhjZ	early	7.00	4.00	5.00	4.99	5.99	0.00	1.00	0.00	2.00	2.00	0.00
cszL	early	23.00	17.99	13.99	11.99	6.98	4.00	5.99	3.00	1.00	0.00	0.00
gomS	early	32.01	20.99	6.99	5.99	2.00	1.00	1.00	0.00	0.00	0.00	0.00
kisK	early	7.00	7.00	3.00	4.00	3.99	4.00	2.00	1.00	1.00	0.00	0.00
xttR	early	31.01	24.99	13.99	10.99	4.99	4.99	2.00	1.00	0.00	0.00	0.00
lscQ	middle	1.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qubJ	early	168.03	108.95	62.95	38.96	25.94	7.99	6.98	3.00	0.00	1.00	2.00
kusG	early	231.04	124.94	60.96	22.97	15.96	6.99	2.99	1.00	0.00	1.00	0.00
hjlR	early	103.02	22.99	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qjcZ	early	28.01	20.99	11.99	8.99	7.98	8.99	1.00	3.00	2.00	0.00	1.00
isxU	late	127.02	190.91	220.84	302.65	343.23	371.62	455.97	504.19	522.69	618.55	682.38
pwcF	middle	84.02	94.95	110.92	108.87	119.73	94.90	100.77	119.81	99.94	100.93	77.04
uedJ	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vmgS	middle	342.06	439.79	535.61	599.31	605.65	671.31	743.32	783.75	833.50	792.42	831.47
cnlX	middle	5.00	4.00	6.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
unmK	early	4.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yiyU	middle	166.03	192.91	225.83	253.71	222.50	219.78	210.53	174.72	177.89	174.87	140.08
gabJ	middle	116.02	129.94	159.88	182.79	182.59	229.77	212.52	245.61	254.85	261.81	252.14
ziuX	early	9.00	7.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
irxJ	early	3.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zejF	early	42.01	18.99	9.99	12.99	4.99	6.99	2.00	0.00	0.00	1.00	0.00
cqtY	early	35.01	30.99	28.98	11.99	5.99	10.99	2.99	6.99	2.00	1.00	2.00
pcfH	early	249.04	70.97	34.97	11.99	5.99	0.00	0.00	0.00	0.00	0.00	0.00
figP	early	8.00	2.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hqlN	early	13.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zdhN	early	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rsgZ	middle	16.00	19.99	12.99	3.00	2.99	0.00	2.00	0.00	1.00	0.00	0.00
fvhP	middle	6.00	9.00	3.00	4.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
jzwB	middle	148.03	143.93	175.87	167.81	148.67	136.86	126.71	109.82	107.94	88.93	64.04
eoyY	middle	153.03	186.91	239.82	244.72	284.37	279.71	321.28	288.54	335.80	360.73	358.20
focT	early	25.00	10.99	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dlgX	early	61.01	37.98	32.98	25.97	15.96	6.99	8.98	4.99	3.00	3.00	1.00
vdvE	early	28.01	19.99	12.99	5.99	0.00	2.00	2.00	0.00	0.00	0.00	0.00
dghD	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nwiK	late	182.03	251.88	286.79	326.62	299.33	306.69	313.29	312.50	308.82	316.77	340.19
vgbK	middle	91.02	95.95	89.93	108.87	90.80	67.93	68.84	74.88	46.97	47.96	36.02
iubK	middle	4.00	3.00	5.00	4.00	2.99	3.00	4.99	3.99	6.00	2.00	5.00
nbgB	early	31.01	12.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hgzE	early	399.07	367.82	313.77	300.65	237.47	175.82	167.62	109.82	93.94	57.96	36.02
zwsV	middle	501.09	508.76	488.64	438.50	411.08	324.67	309.30	195.69	194.88	148.89	147.08
aubF	middle	1758.31	1925.08	1937.58	2027.67	1953.64	1810.15	1644.29	1556.51	1288.23	1132.17	1076.60
ptgE	middle	2035.36	2393.85	2609.08	2918.64	2977.35	3182.75	3077.06	3015.18	2920.25	3037.77	2782.56
jqpU	middle	38.01	40.98	38.97	49.94	65.85	53.94	49.89	47.92	52.97	43.97	42.02
xdwF	middle	23.00	30.99	27.98	13.98	28.94	22.98	12.97	18.97	17.99	20.98	17.01
iihI	early	53.01	18.99	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
rmeI	middle	11.00	8.00	11.99	7.99	8.98	10.99	12.97	12.98	18.99	12.99	7.00
rtjI	early	23.00	13.99	5.00	3.00	2.00	4.00	1.00	0.00	0.00	0.00	0.00
cgfO	early	607.11	323.84	164.88	99.89	41.91	26.97	11.97	6.99	4.00	3.00	1.00
kzpD	early	151.03	110.95	96.93	102.88	44.90	38.96	36.92	17.97	19.99	17.99	7.00
xfhQ	early	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rzoE	early	3.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yyfF	early	258.05	225.89	173.87	131.85	96.78	65.93	64.85	37.94	26.98	15.99	8.00
yooS	early	9.00	5.00	3.00	2.00	1.00	3.00	0.00	1.00	0.00	0.00	0.00
rwjN	early	104.02	39.98	11.99	4.00	4.99	0.00	1.00	0.00	0.00	0.00	0.00
uhbO	early	34.01	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rkuW	early	40.01	32.98	15.99	14.98	12.97	8.99	2.99	4.99	2.00	2.00	0.00
rslC	early	3.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
drtF	middle	54.01	59.97	60.96	54.94	43.90	53.94	38.91	33.95	27.98	19.99	21.01
cqzW	early	7.00	3.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
clgO	early	240.04	205.90	132.90	104.88	64.86	54.94	33.92	10.98	12.99	8.99	3.00
qyuW	early	17.00	6.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
slvW	early	699.13	517.75	347.74	221.74	128.71	69.93	44.90	26.96	12.99	7.99	3.00
ttvD	early	347.06	156.92	57.96	11.99	4.99	2.00	2.00	0.00	0.00	0.00	0.00
yuhP	middle	177.03	168.92	227.83	177.80	186.58	171.82	174.61	138.78	125.92	114.92	96.05
rpzX	early	59.01	53.97	53.96	39.95	41.91	32.97	22.95	29.95	13.99	7.99	11.01
lujH	early	78.01	53.97	24.98	15.98	8.98	6.99	1.00	3.99	2.00	0.00	3.00
toqV	early	25.00	13.99	13.99	9.99	4.99	1.00	2.99	0.00	0.00	0.00	0.00
splK	early	5.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ydmS	early	71.01	34.98	20.98	4.99	3.99	0.00	0.00	0.00	0.00	1.00	0.00
rfrR	early	110.02	44.98	8.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qkaH	middle	1261.23	1485.29	1485.91	1498.28	1426.81	1428.54	1279.12	1252.00	1068.36	1066.22	895.50
tncY	middle	222.04	219.89	229.83	200.77	140.69	156.84	120.73	91.85	94.94	56.96	44.02
nhcW	middle	1645.29	1817.13	1867.63	1757.98	1771.05	1576.39	1431.77	1250.00	1062.36	994.27	816.46
iglN	middle	704.13	818.61	916.33	932.93	912.96	940.04	887.00	839.66	798.52	743.45	687.39
wiyV	early	14.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vxfX	early	24.00	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nmgO	early	21.00	9.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bjyP	late	20.00	22.99	33.98	33.96	46.90	50.95	54.88	51.92	48.97	56.96	79.04
abzC	middle	31.01	35.98	20.98	20.98	17.96	15.98	6.98	9.98	5.00	4.00	2.00
ohpL	early	39.01	9.00	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
plyR	early	98.02	23.99	11.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pvxO	middle	1578.28	2045.02	2324.29	2496.13	2705.96	2939.00	3099.01	3138.98	3134.13	3009.79	3057.72
wjmU	middle	295.05	353.83	395.71	498.43	509.86	539.45	568.72	636.98	671.60	612.55	615.35
ccrS	early	5.00	5.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lwjG	middle	10.00	10.99	6.99	1.00	2.00	2.00	1.00	1.00	0.00	1.00	0.00
wbmP	middle	119.02	128.94	124.91	109.87	103.77	92.91	78.82	57.91	64.96	50.96	43.02
gniN	middle	1014.18	1227.41	1279.06	1251.56	1190.34	1180.79	1107.50	1062.30	952.43	870.36	704.40
qwgX	early	73.01	22.99	7.99	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
yziY	middle	406.07	426.80	476.65	470.46	470.95	439.55	473.93	363.42	414.75	372.73	339.19
krwH	early	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mesC	middle	147.03	183.91	185.86	160.81	160.64	155.84	143.68	96.85	98.94	90.93	74.04
dlmJ	middle	2.00	1.00	2.00	1.00	2.00	1.00	0.00	0.00	3.00	0.00	0.00
hobD	early	61.01	25.99	11.99	7.99	6.98	0.00	0.00	1.00	0.00	0.00	0.00
xuyE	early	373.07	184.91	84.94	43.95	17.96	5.99	2.00	0.00	0.00	1.00	0.00
ihmF	early	165.03	82.96	39.97	19.98	5.99	3.00	1.00	2.00	0.00	0.00	0.00
mkaE	early	416.07	366.82	278.80	248.71	207.54	178.82	120.73	89.86	76.95	49.96	46.03
mjiS	middle	299.05	306.85	308.77	346.60	294.34	272.72	279.37	239.62	215.87	184.86	184.10
dxcT	late	1821.33	2530.79	3048.76	3548.92	4057.94	4463.44	4895.96	5332.47	5625.64	6016.58	6319.55
jskU	middle	13.00	13.99	12.99	17.98	15.96	6.99	3.99	6.99	7.00	2.00	4.00
yaxI	early	53.01	41.98	12.99	4.00	0.00	1.00	2.99	0.00	0.00	0.00	0.00
engO	middle	375.07	470.77	505.63	547.37	532.81	479.51	537.79	446.29	414.75	396.71	335.19
rqbT	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oexU	middle	1.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
meuB	middle	21.00	27.99	18.99	24.97	17.96	16.98	18.96	8.99	8.99	4.00	6.00
ilzX	early	60.01	31.98	16.99	7.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00
nltF	early	181.03	116.94	69.95	39.95	26.94	14.98	1.00	3.00	3.00	1.00	0.00
fgwW	middle	118.02	143.93	134.90	150.83	179.60	168.83	168.62	147.76	177.89	158.88	138.08
hpwP	early	425.08	258.88	191.86	97.89	58.87	30.97	24.94	6.99	5.00	6.00	0.00
